24,2013-07
3365,2013-08
27164,2013-09
290338,2013-10
806412,2013-11
1476032,2013-12
1692345,2014-01
1379932,2014-02
3190334,2014-03
3725253,2014-04
3170729,2014-05
3501881,2014-06
3437070,2014-07
3133578,2014-08
3264665,2014-09
3401523,2014-10
3035231,2014-11
3769876,2014-12
3245213,2015-01
3166052,2015-02
3399829,2015-03
3528879,2015-04
3336466,2015-05
3643984,2015-06
3702594,2015-07
3489967,2015-08
3935093,2015-09
3705592,2015-10
3532113,2015-11
4161569,2015-12
3551688,2016-01
3620503,2016-02
4017822,2016-03
3728812,2016-04
3981723,2016-05
4128619,2016-06
3739795,2016-07
4382831,2016-08
3821291,2016-09
3877526,2016-10
4208937,2016-11
4166248,2016-12
4273928,2017-01
3894831,2017-02
4292838,2017-03
3887720,2017-04
4595963,2017-05
4215169,2017-06
4209070,2017-07
4728218,2017-08
4068586,2017-09
4495908,2017-10
4522347,2017-11
4465011,2017-12
4931588,2018-01
4281020,2018-02
4497120,2018-03
4548875,2018-04
5139974,2018-05
4660770,2018-06
4967360,2018-07
5172863,2018-08
4502273,2018-09
5379211,2018-10
4797103,2018-11
5208120,2018-12
5359064,2019-01
4707756,2019-02
4812215,2019-03
5206354,2019-04
5415447,2019-05
4898427,2019-06
5707047,2019-07
5179433,2019-08
5053013,2019-09
5626412,2019-10
4959158,2019-11
5976324,2019-12
5245492,2020-01
5015369,2020-02
5410713,2020-03
4622720,2020-04
4538656,2020-05
5417918,2020-06
5229687,2020-07
5064657,2020-08
5556799,2020-09
5119033,2020-10
5134083,2020-11
6170386,2020-12
5058541,2021-01
5017638,2021-02
5913781,2021-03
5274886,2021-04
5270016,2021-05
6154565,2021-06
5585937,2021-07
7919239,2021-08
11938294,2021-09
11666254,2021-10
26861966,2021-11
25473825,2021-12
14076930,2022-01
16782797,2022-02
18589261,2022-03
15442191,2022-04
16454685,2022-05
16562321,2022-06
14860795,2022-07
17340288,2022-08
14768913,2022-09
15066154,2022-10
16221774,2022-11
15854347,2022-12
15233121,2023-01
14729045,2023-02
2361951,2023-03